Radius-industry,Radius-activity,Radius-resident,Percent-happy
0,0,0,31.4457831325
0,0,2,31.656626506
0,0,4,34.0361445783
0,0,6,47.2891566265
0,2,0,33.1927710843
0,2,2,56.686746988
0,2,4,62.4096385542
0,2,6,64.6084337349
0,4,0,32.1385542169
0,4,2,34.9698795181
0,4,4,45.6927710843
0,4,6,57.7108433735
0,6,0,31.7771084337
0,6,2,36.3554216867
0,6,4,40.9638554217
0,6,6,49.0963855422
2,0,0,31.9879518072
2,0,2,32.6204819277
2,0,4,35.3915662651
2,0,6,43.7951807229
2,2,0,31.4457831325
2,2,2,62.1385542169
2,2,4,66.1144578313
2,2,6,63.9759036145
2,4,0,32.1385542169
2,4,2,41.3855421687
2,4,4,44.5481927711
2,4,6,57.3493975904
2,6,0,31.7168674699
2,6,2,36.9879518072
2,6,4,46.9578313253
2,6,6,49.0963855422
4,0,0,32.3795180723
4,0,2,32.0481927711
4,0,4,34.3072289157
4,0,6,35.5722891566
4,2,0,31.1445783133
4,2,2,54.5481927711
4,2,4,48.2530120482
4,2,6,39.7289156627
4,4,0,31.7771084337
4,4,2,37.5301204819
4,4,4,42.6204819277
4,4,6,35.5120481928
4,6,0,31.5361445783
4,6,2,36.8975903614
4,6,4,40.3614457831
4,6,6,35.4518072289
6,0,0,32.0481927711
6,0,2,31.5060240964
6,0,4,35.2108433735
6,0,6,33.8855421687
6,2,0,31.656626506
6,2,2,55.1204819277
6,2,4,42.7710843373
6,2,6,40.7530120482
6,4,0,31.686746988
6,4,2,38.5843373494
6,4,4,40.9036144578
6,4,6,36.7168674699
6,6,0,32.1987951807
6,6,2,38.4638554217
6,6,4,39.8192771084
6,6,6,35.4819277108
