"BehaviorSpace results (NetLogo 5.0.5)"
"jeudi-Optimisation-presque-fini.nlogo"
"experiment"
"05/01/2014 15:48:43:399 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27"
"radius-industry","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"6",
"radius-activity","0",,"0",,"0",,"1",,"1",,"1",,"6",,"6",,"6",,"0",,"0",,"0",,"1",,"1",,"1",,"6",,"6",,"6",,"0",,"0",,"0",,"1",,"1",,"1",,"6",,"6",,"6",
"radius-resident","0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",,"0",,"1",,"6",
"[reporter]","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density"
"[final]","2.4096385542168677","32.19879518072289","2.7710843373493974","32.07831325301205","71.32530120481928","42.10843373493976","3.3734939759036147","32.31927710843374","3.614457831325301","31.83734939759036","96.86746987951807","65.93373493975903","26.506024096385545","32.01807228915662","27.469879518072286","32.16867469879518","100","53.6144578313253","2.4096385542168677","31.656626506024093","2.1686746987951806","32.68072289156627","70.72289156626506","46.6566265060241","4.096385542168675","32.04819277108434","3.2530120481927707","32.31927710843374","98.79518072289156","72.98192771084338","26.506024096385545","32.95180722891566","26.867469879518076","32.19879518072289","100","49.066265060240966","0","31.114457831325304","0.12048192771084339","31.08433734939759","36.02409638554217","35.21084337349398","0.8433734939759037","33.64457831325301","0.9638554216867471","31.77710843373494","46.14457831325301","36.265060240963855","24.096385542168676","32.5","24.337349397590362","31.686746987951807","56.3855421686747","34.87951807228916"
"[min]","2.4096385542168677","0","2.4096385542168677","0","40.24096385542168","0","2.5301204819277108","0","2.5301204819277108","0","36.506024096385545","0","26.506024096385545","0","27.10843373493976","0","52.53012048192771","0","1.9277108433734942","0","1.9277108433734942","0","28.313253012048197","0","2.5301204819277108","0","2.4096385542168677","0","34.4578313253012","0","26.144578313253014","0","26.265060240963855","0","62.409638554216876","0","0","0","0","0","24.819277108433734","0","0.24096385542168677","0","0","0","26.144578313253014","0","24.096385542168676","0","24.216867469879517","0","47.95180722891566","0"
"[max]","2.4096385542168677","33.58433734939759","3.0120481927710845","34.00602409638554","75.5421686746988","45.48192771084337","4.698795180722891","33.97590361445783","4.9397590361445785","34.27710843373494","96.86746987951807","66.59638554216868","26.506024096385545","34.066265060240966","27.469879518072286","34.63855421686747","100","53.644578313253014","2.4096385542168677","33.8855421686747","3.0120481927710845","34.126506024096386","74.21686746987952","49.48795180722891","4.9397590361445785","34.126506024096386","4.819277108433735","34.066265060240966","98.79518072289156","73.855421686747","26.506024096385545","34.036144578313255","26.867469879518076","34.4277108433735","100","49.066265060240966","0","33.8855421686747","0.7228915662650602","33.945783132530124","47.83132530120482","38.55421686746988","2.1686746987951806","34.54819277108434","2.5301204819277108","33.765060240963855","51.445783132530124","42.13855421686747","24.096385542168676","34.21686746987952","24.337349397590362","33.855421686746986","72.77108433734941","41.02409638554217"
"[mean]","2.409638554216846","31.80037515330785","2.530120481927706","31.78877185388258","73.56443739027972","42.01031671596568","3.417983310487461","31.78654738715339","3.575259120313591","31.85953394415991","95.07346752278481","63.89540196715001","26.50602409638539","31.852078974580976","27.46771517206537","32.246591155039326","96.02260895433582","50.23241112598542","2.3079142918981237","31.817870283529334","2.430079599836465","31.86921338046798","70.68369285525337","46.23031046341055","3.3227520861890594","31.841918572493594","3.4492460861409735","31.839333381429924","95.80982613087004","69.62610922732854","26.44566289108522","32.29084000673352","26.810715917562618","32.12051800014429","95.06641952425083","44.909638554216876","0","31.798812014525186","0.12360820527619469","31.87258014092296","34.77839501719451","35.03390808743954","1.0170021402977114","31.812038573455517","1.1598489767452995","31.815946420412192","38.4546569511579","36.31652357934735","24.096385542168715","31.933241949835224","24.33229925690798","31.721496765505123","60.27318856263377","36.08656181612675"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","80","80","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","38","38","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density","percent-happy","percent-density"
,"2.4096385542168677","0","2.6506024096385543","0","40.24096385542168","0","4.698795180722891","0","4.578313253012048","0","36.506024096385545","0","26.506024096385545","0","27.10843373493976","0","52.53012048192771","0","2.4096385542168677","0","2.0481927710843375","0","28.313253012048197","0","3.8554216867469884","0","4.096385542168675","0","34.4578313253012","0","26.265060240963855","0","26.265060240963855","0","62.409638554216876","0","0","0","0.24096385542168677","0","31.08433734939759","0","1.4457831325301205","0","2.4096385542168677","0","32.16867469879518","0","24.096385542168676","0","24.216867469879517","0","59.156626506024104","0"
,"2.4096385542168677","31.716867469879517","2.6506024096385543","32.43975903614458","51.80722891566265","32.46987951807229","3.132530120481928","30.692771084337352","3.975903614457831","32.43975903614458","47.2289156626506","32.01807228915662","26.506024096385545","31.716867469879517","27.10843373493976","31.566265060240962","64.45783132530121","33.13253012048193","2.1686746987951806","31.32530120481928","2.289156626506024","31.385542168674696","39.87951807228916","31.566265060240962","3.2530120481927707","31.265060240963855","3.132530120481928","31.92771084337349","43.373493975903614","33.16265060240964","26.385542168674696","31.83734939759036","26.626506024096386","31.566265060240962","72.40963855421687","33.8855421686747","0","31.506024096385545","0","32.89156626506024","33.25301204819277","33.102409638554214","0.48192771084337355","31.506024096385545","0.7228915662650602","31.987951807228914","35.66265060240964","30.96385542168675","24.096385542168676","32.34939759036145","24.216867469879517","30.813253012048193","56.62650602409639","33.524096385542165"
,"2.4096385542168677","31.44578313253012","2.4096385542168677","32.28915662650602","59.156626506024104","34.75903614457832","2.891566265060241","31.295180722891562","4.096385542168675","32.31927710843374","54.45783132530121","34.096385542168676","26.506024096385545","31.024096385542173","27.349397590361445","32.04819277108434","72.40963855421687","35.632530120481924","2.4096385542168677","31.44578313253012","2.4096385542168677","32.71084337349397","48.91566265060241","33.91566265060241","3.3734939759036147","32.16867469879518","2.7710843373493974","31.05421686746988","48.674698795180724","33.8855421686747","26.506024096385545","32.59036144578313","26.626506024096386","32.25903614457831","79.03614457831326","36.084337349397586","0","32.46987951807229","0","31.77710843373494","32.28915662650602","33.6144578313253","1.0843373493975903","31.32530120481928","1.4457831325301205","32.16867469879518","32.53012048192771","33.04216867469879","24.096385542168676","31.746987951807228","24.216867469879517","30.96385542168675","59.63855421686747","33.25301204819277"
,"2.4096385542168677","31.626506024096386","2.4096385542168677","31.506024096385545","62.77108433734939","36.054216867469876","3.132530120481928","32.10843373493976","4.337349397590361","31.295180722891562","58.31325301204819","35.81325301204819","26.506024096385545","31.475903614457827","27.349397590361445","32.07831325301205","76.62650602409639","37.86144578313253","2.289156626506024","31.53614457831325","2.5301204819277108","31.295180722891562","53.73493975903615","36.174698795180724","3.132530120481928","32.43975903614458","3.0120481927710845","33.31325301204819","52.77108433734939","35.09036144578313","26.506024096385545","32.04819277108434","26.746987951807228","31.686746987951807","83.97590361445783","38.13253012048193","0","32.10843373493976","0","32.5","28.55421686746988","32.71084337349397","0.8433734939759037","32.68072289156627","1.0843373493975903","31.807228915662648","33.373493975903614","33.734939759036145","24.096385542168676","31.957831325301207","24.216867469879517","31.807228915662648","56.62650602409639","33.13253012048193"
,"2.4096385542168677","31.596385542168676","2.4096385542168677","31.987951807228914","65.18072289156626","37.04819277108434","3.3734939759036147","32.01807228915662","3.2530120481927707","30.66265060240964","63.25301204819277","38.19277108433735","26.506024096385545","31.32530120481928","27.349397590361445","31.746987951807228","80.72289156626506","38.58433734939759","2.4096385542168677","32.13855421686747","2.289156626506024","31.686746987951807","58.192771084337345","36.596385542168676","4.096385542168675","33.25301204819277","4.096385542168675","31.626506024096386","56.74698795180723","36.80722891566265","26.506024096385545","32.74096385542168","26.746987951807228","32.07831325301205","86.98795180722891","39.57831325301205","0","32.13855421686747","0.24096385542168677","31.295180722891562","27.951807228915666","34.00602409638554","0.8433734939759037","31.716867469879517","0.7228915662650602","32.53012048192771","37.71084337349397","34.87951807228916","24.096385542168676","32.22891566265061","24.337349397590362","31.506024096385545","53.132530120481924","34.27710843373494"
,"2.4096385542168677","31.626506024096386","2.5301204819277108","31.05421686746988","65.66265060240963","37.59036144578313","3.2530120481927707","31.92771084337349","3.3734939759036147","31.77710843373494","65.78313253012048","38.644578313253014","26.506024096385545","31.144578313253014","27.469879518072286","32.53012048192771","83.37349397590361","40.78313253012048","2.289156626506024","32.59036144578313","2.4096385542168677","31.987951807228914","61.32530120481928","39.1566265060241","2.891566265060241","31.566265060240962","3.0120481927710845","32.92168674698795","60.96385542168675","39.036144578313255","26.385542168674696","32.31927710843374","26.867469879518076","31.53614457831325","89.39759036144578","41.054216867469876","0","32.62048192771084","0","32.62048192771084","35.66265060240964","34.1566265060241","1.0843373493975903","30.96385542168675","1.566265060240964","31.686746987951807","33.855421686746986","35.54216867469879","24.096385542168676","32.40963855421687","24.337349397590362","31.355421686746986","60.12048192771084","35.722891566265055"
,"2.4096385542168677","31.686746987951807","2.4096385542168677","31.144578313253014","67.83132530120481","37.62048192771084","3.2530120481927707","32.16867469879518","3.493975903614458","32.01807228915662","68.19277108433735","40.78313253012048","26.506024096385545","31.32530120481928","27.469879518072286","32.34939759036145","85.18072289156626","42.56024096385542","2.4096385542168677","31.987951807228914","2.6506024096385543","32.19879518072289","64.33734939759036","40.18072289156627","3.2530120481927707","31.024096385542173","3.0120481927710845","31.295180722891562","64.45783132530121","41.475903614457835","26.385542168674696","31.716867469879517","26.867469879518076","31.234939759036145","90.96385542168674","41.74698795180723","0","31.53614457831325","0","31.746987951807228","38.674698795180724","34.27710843373494","0.8433734939759037","32.22891566265061","1.0843373493975903","31.355421686746986","33.734939759036145","35.48192771084337","24.096385542168676","32.59036144578313","24.337349397590362","31.83734939759036","53.132530120481924","34.81927710843373"
,"2.4096385542168677","31.566265060240962","2.4096385542168677","30.843373493975907","68.9156626506024","37.68072289156626","3.2530120481927707","31.355421686746986","3.8554216867469884","31.44578313253012","71.6867469879518","42.28915662650603","26.506024096385545","31.44578313253012","27.469879518072286","32.04819277108434","87.2289156626506","42.68072289156626","2.4096385542168677","30.873493975903614","2.5301204819277108","31.32530120481928","64.6987951807229","40.75301204819277","3.2530120481927707","31.957831325301207","3.0120481927710845","31.05421686746988","66.62650602409639","42.53012048192771","26.506024096385545","32.19879518072289","26.867469879518076","31.596385542168676","92.40963855421687","42.65060240963855","0","30.933734939759038","0","31.41566265060241","33.13253012048193","34.18674698795181","1.0843373493975903","32.98192771084337","0.8433734939759037","32.19879518072289","33.97590361445783","35.722891566265055","24.096385542168676","33.704819277108435","24.337349397590362","32.16867469879518","55.662650602409634","34.48795180722892"
